,POA_CODE16,POA_NAME16,AREASQKM16,hail_size
1620,4496,4496,1719.3053,0.0
1621,4497,4497,3505.0666,0.0
1622,4498,4498,1423.1466,0.0
1623,4500,4500,86.5893,4.0
1624,4501,4501,8.1316,0.0
1625,4502,4502,6.6035,2.0
1626,4503,4503,99.6934,0.0
1627,4504,4504,41.7371,3.8000000000000003
1628,4505,4505,52.3357,4.3
1629,4506,4506,58.7977,1.0
1630,4507,4507,145.3505,0.0
1631,4508,4508,19.4373,3.25
1632,4509,4509,26.2561,2.4
1633,4510,4510,218.9396,4.657142857142857
1634,4511,4511,36.5018,4.3
1635,4512,4512,102.1152,0.0
1636,4514,4514,511.987,6.400000000000001
1637,4515,4515,1384.4755,2.533333333333333
1638,4516,4516,101.1794,0.0
1639,4517,4517,80.7742,4.0
1640,4518,4518,72.414,0.0
1641,4519,4519,202.0281,4.5
1642,4520,4520,332.3237,3.0
1643,4521,4521,288.2282,5.05
1644,4550,4550,69.6787,4.3
1645,4551,4551,95.279,5.266666666666667
1646,4552,4552,455.8262,4.4399999999999995
1647,4553,4553,65.1101,9.0
1648,4554,4554,37.3254,0.0
1649,4555,4555,49.291,6.3
1650,4556,4556,71.7189,7.6
1651,4557,4557,11.3654,5.3
1652,4558,4558,14.9241,7.2
1653,4559,4559,41.1572,0.0
1654,4560,4560,218.3743,5.333333333333333
1655,4561,4561,117.7266,4.3
1656,4562,4562,207.5346,1.7
1657,4563,4563,176.2523,4.333333333333333
1658,4564,4564,24.0131,7.85
1659,4565,4565,304.3316,3.0
1660,4566,4566,26.2506,0.0
1661,4567,4567,19.966,3.15
1662,4568,4568,96.0095,4.65
1663,4569,4569,37.584,5.0
1664,4570,4570,3861.1389,4.304545454545455
1665,4571,4571,202.3033,5.15
1666,4572,4572,1.5035,0.0
1667,4573,4573,61.235,0.0
1668,4574,4574,360.3842,2.0
1669,4575,4575,17.8272,0.0
1670,4580,4580,707.8497,5.3
1671,4581,4581,1693.7301,4.15
1672,4600,4600,623.0267,4.25
1673,4601,4601,1800.5717,3.5200000000000005
1674,4605,4605,771.7766,4.25
1675,4606,4606,250.7621,4.3
1676,4608,4608,463.5732,0.0
1677,4610,4610,3801.9405,3.5615384615384613
1678,4611,4611,42.5772,0.0
1679,4612,4612,599.5949,0.0
1680,4613,4613,1749.936,0.0
1681,4614,4614,248.5346,2.0
1682,4615,4615,1360.8524,3.673333333333333
1683,4620,4620,1180.9336,4.0
1684,4621,4621,1627.363,4.025
1685,4625,4625,3244.3287,3.05
1686,4626,4626,4227.3073,2.725
1687,4627,4627,4801.0871,0.0
1688,4630,4630,5561.7434,2.9
1689,4650,4650,2645.9161,5.333333333333333
1690,4655,4655,458.5895,6.3
1691,4659,4659,301.2547,3.733333333333333
1692,4660,4660,1489.8297,4.0
1693,4662,4662,29.3873,0.0
1694,4670,4670,1781.7866,4.358333333333333
1695,4671,4671,3774.1675,4.01111111111111
1696,4673,4673,304.3716,0.0
1697,4674,4674,1078.1463,0.0
1698,4676,4676,647.6431,0.0
1699,4677,4677,1423.5285,2.4
1700,4678,4678,642.7085,0.0
1701,4680,4680,4993.763,2.46
1702,4694,4694,277.6657,2.0
1703,4695,4695,843.5076,0.0
1704,4697,4697,596.5489,0.0
1705,4699,4699,895.1947,0.0
1706,4700,4700,114.5925,3.3600000000000003
